if_,Genotype,Phenotype,Activity_Score,Comment,Gene,Flag,Flag_Note
C__25986767_70MUTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10MUT,*2/*10,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70HETC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10HETC__30634128_10WT,*2/*17,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70MUTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10NOAMP,*2/*2,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70HETC__27861809_10HETC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*2/*3,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70HETC__27861809_10WTC__30634136_10HETC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*2/*4,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70HETC__27861809_10WTC__30634136_10WTC__27531918_10HETC__30634130_30WTC____469857_10WTC__30634128_10WT,*2/*6,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70HETC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30HETC____469857_10WTC__30634128_10WT,*2/*8,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10HETC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10HET,*3/*10,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10HETC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10HETC__30634128_10WT,*3/*17,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10MUTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*3/*3,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10HETC__30634136_10HETC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*3/*4,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10HETC__30634136_10WTC__27531918_10HETC__30634130_30WTC____469857_10WTC__30634128_10WT,*3/*6,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10HETC__30634136_10WTC__27531918_10WTC__30634130_30HETC____469857_10WTC__30634128_10WT,*3/*8,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10HETC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10HET,*4/*10,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10HETC__27531918_10WTC__30634130_30WTC____469857_10HETC__30634128_10WT,*4/*17,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10MUTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*4/*4,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10HETC__27531918_10HETC__30634130_30WTC____469857_10WTC__30634128_10WT,*4/*6,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10HETC__27531918_10WTC__30634130_30HETC____469857_10WTC__30634128_10WT,*4/*8,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10HETC__30634130_30WTC____469857_10WTC__30634128_10HET,*6/*10,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10HETC__30634130_30WTC____469857_10HETC__30634128_10WT,*6/*17,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10MUTC__30634130_30WTC____469857_10WTC__30634128_10WT,*6/*6,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10HETC__30634130_30HETC____469857_10WTC__30634128_10WT,*6/*8,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30HETC____469857_10WTC__30634128_10HET,*8/*10,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30HETC____469857_10HETC__30634128_10WT,*8/*17,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30MUTC____469857_10WTC__30634128_10WT,*8/*8,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70WT,*1/*1,Normal Metabolizer,2,"Normal CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,no,
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70HET,*1/*11,Intermediate Metabolizer,1.5,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10HETC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70WT,*1/*2,Intermediate Metabolizer,1.5,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10HETC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70WT,*1/*3,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40HETC__32287221_20WTC__25625804_10WTC__30634132_70WT,*1/*5,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20HETC__25625804_10WTC__30634132_70WT,*1/*6,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10HETC__30634132_70WT,*1/*8,Intermediate Metabolizer,1.5,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70MUT,*11/*11,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10HETC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70HET,*2/*11,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10MUTC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70WT,*2/*2,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10HETC__27104892_10HETC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70WT,*2/*3,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10HETC__27104892_10WTC__27859817_40HETC__32287221_20WTC__25625804_10WTC__30634132_70WT,*2/*5,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10HETC__27104892_10WTC__27859817_40WTC__32287221_20HETC__25625804_10WTC__30634132_70WT,*2/*6,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10HETC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10HETC__30634132_70WT,*2/*8,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10HETC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70HET,*3/*11,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10MUTC__27859817_40WTC__32287221_20WTC__25625804_10WTC__30634132_70WT,*3/*3,Poor Metabolizer,0,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10HETC__27859817_40HETC__32287221_20WTC__25625804_10WTC__30634132_70WT,*3/*5,Poor Metabolizer,0,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10HETC__27859817_40WTC__32287221_20HETC__25625804_10WTC__30634132_70WT,*3/*6,Poor Metabolizer,0,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10HETC__27859817_40WTC__32287221_20WTC__25625804_10HETC__30634132_70WT,*3/*8,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40HETC__32287221_20WTC__25625804_10WTC__30634132_70HET,*5/*11,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40MUTC__32287221_20WTC__25625804_10WTC__30634132_70WT,*5/*5,Poor Metabolizer,0,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
